"day_pos","date_time","date_time_exp","sent_num","text"
1,"2016-05-10 07:36:17","2016-05-10 07:30:00",-1,"Morning woke up was tough. I would most likely continue sleeping. I need to go to the bed earlier today to sleep little bit longer. #n #xfb"
2,"2016-05-10 08:17:35","2016-05-10 08:15:00",1,"Walk to train station wasn't so bad and hurry today. It's raining today a bit, but nicely. What matters I forgot the breakfast. #p #xfb"
3,"2016-05-10 09:04:16","2016-05-10 09:00:00",1,"What a good status. We were laughing a colleague about lobby for the new feature. I look forward to have Madeleine for breakfast. #p #xfb"
4,"2016-05-10 09:46:34","2016-05-10 09:45:00",1,"Redrawing the design description diagram. It's complex, but I like it, while it helps me to explain the problem to others. #p #xfb"
5,"2016-05-10 10:31:37","2016-05-10 10:30:00",-1,"Working and my wife disturbs me with her research about bicycles. I don't want to choose right away I need to read about it first. #n #xfb"
6,"2016-05-10 11:17:33","2016-05-10 11:15:00",1,"Finishing drawing and looking forward for lunch. I need to rewrite text in document to be aligned with picture and it's finished. #p #xfb"
7,"2016-05-10 12:02:18","2016-05-10 12:00:00",1,"And now after really good lunch I want to sleep or at least rest for a while and have something sweet like blueberry muffin. #p #xfb"
8,"2016-05-10 12:42:01","2016-05-10 12:00:00",1,"Returning to work through discussion with colleague of his problem and meanwhile responding to questions about living in Swiss. #p #xfb"
9,"2016-05-10 13:32:52","2016-05-10 13:30:00",1,"Passionate discussion about really interesting work topic inside team. Conclusion is known, but discussion is going on and on. #p #xfb"
10,"2016-05-10 14:25:35","2016-05-10 14:15:00",1,"Almost forgotten to write my tweet during discussion with colleague of mine. But besides that I solved with him one more problem. #p #xfb"
11,"2016-05-10 15:04:11","2016-05-10 15:00:00",-1,"Starting to get tired today already. It's too much things which I need to focus on, discuss, handle, take care of. Better be 5 pm. #n #xfb"
12,"2016-05-10 15:48:41","2016-05-10 15:45:00",1,"Little break and few minutes of walk help to refresh my mind, I am back on the track again and ready for meeting in next 15 minutes #p #xfb"
13,"2016-05-10 16:44:50","2016-05-10 16:30:00",1,"When the team leader tells you at the beginning of your presentation: it's bullshit. There are no arguments. Except it was good joke #p #xfb"
14,"2016-05-10 17:17:54","2016-05-10 17:15:00",1,"Meeting ends with funny topics. It's time to close it and go home. Finally. But there is still lot of to do on the table. #p #xfb"
15,"2016-05-10 18:05:26","2016-05-10 18:00:00",1,"Leaving home. What a relief. I need to enjoy the sunny weather and the family. There is expecting me the good meet for grill. #p #xfb"
16,"2016-05-10 18:51:32","2016-05-10 18:45:00",1,"Back at home. Going to prepare grill and relax. It's nice to do nothing and just sit and have clear mind and no chaos around. #p #xfb"
17,"2016-05-10 19:33:44","2016-05-10 19:30:00",1,"Enjoying dinner with my wife on balcony with kids on the grass outside. I have delicious black Angus steak and chicken pieces. #p #xfb"
18,"2016-05-10 20:28:20","2016-05-10 20:15:00",-1,"I smell by smoke from grill so I need to go to the shower before I will go to bed watch some series or work. #n #xfb"
19,"2016-05-10 21:01:53","2016-05-10 21:00:00",-1,"Choose a bike is not easy I am little bit in depression what parameters to care about and what brand to choose I need to take a time #n #xfb"
20,"2016-05-10 21:46:50","2016-05-10 21:45:00",-1,"Finished by bike selection I am going to find some episode to watch and relax. Bikes available in CZ are not available in Swiss, wtf #n #xfb"
21,"2016-05-10 22:31:45","2016-05-10 22:30:00",1,"Watching TV show and relaxing with popsicle in bed. Wife is still continuing with bicycle research. I am enjoying the show. #p #xfb"
22,"2016-05-10 23:09:41","2016-05-10 22:30:00",1,"The Simpsons at the end of the day are the best. We are enjoying it both And I will go maybe work after instead of sleep right away #p #xfb"
23,"2016-05-11 00:02:05","2016-05-10 23:59:59",1,"Kicking trough usage of @fitbit API library from @github, so far it's going well. Right now I need to test OAuth to my application. #p #xfb"
1,"2016-05-11 07:37:24","2016-05-11 07:30:00",1,"My heart beat is like I would run the race. But what helped to have nice woke up was daughter who came to visit us in our bed. #p #xfb"
2,"2016-05-11 08:16:47","2016-05-11 08:15:00",1,"Waiting for the train and trying to call back on my colleague missed phone call. It could be about pizza order I hope not work. #p #xfb"
3,"2016-05-11 09:03:52","2016-05-11 09:00:00",-1,"Guys already ordered pizza for me what a pleasant surprise. Fuck I am late for my meeting from nine o'clock. I need to run. #n #xfb"
